"Status","Comment"
"Not SATD","We should ideally offload the parsing of this data to a custom commit handler on the database.* Opportunity for future tech debt work captured in ZenHub."
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the overview page)"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","Growthbook - teimp"
"Not SATD","Show this part if none of the emission intensity report form properties have been updated"
"Not SATD","Show this part if the whole emission intensity report has been removed"
"Not SATD","You only need to include the optional arguments when using this function to create the schema for the summary (read-only) page."
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the overview page)"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","Mutations"
"Not SATD","We should explicitly filter out archived form changes here (filtering on the fragment doesn't work)"
"Not SATD","putting the conditional directly in the mutation throws errors"
"Not SATD","don't trigger a change if the form data is an empty object"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD"," Default to 50% Default to 10%"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the overview page)"
"Not SATD","If we are showing the diff then we want to see archived records, otherwise filter out the archived contacts"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","This condition handles the case where the form is archived"
"Not SATD","setting this to true so that the text is ""Additional Funding Source not added"""
"Not SATD","You only need to include the optional arguments when using this function to create the schema for the summary (read-only) page."
"Not SATD","Dynamically build the schema from the list of cif_users"
"Not SATD","Update an existing project_manager form change if it exists, otherwise create one"
"Not SATD","If a form_change already exists, and the payload contains a cifUserId update it"
"Not SATD","If a form_change does not exist, and the payload contains a cifUserId create a form_change record"
"Not SATD","a temporary fix to make sure the form change operation is set correctly"
"Not SATD","the failing mutation will display an error message and send the error to sentry"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the managers page)"
"Not SATD","If we are showing the diff then we want to see archived records, otherwise filter out the archived managers"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","Opportunity for a refactor here to populate the anyOf array on the server with a computed column"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD","retrieving calculated amounts from newFormData rather than using the calculated fields directly to avoid discrepencies between front-end and payments table"
"Not SATD","Sort consolidated milestone form change records"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","setting this to true so that the text is ""Milestone Reports not added"""
"Not SATD"," If we are showing the diff then we want to see archived records, otherwise filter out the archived milestone reports"
"Not SATD","Show this part if none of milestone report form properties have been updated"
"Not SATD","Show this part if the whole milestone report has been removed"
"Not SATD","Get all form changes ids to get used in the undo changes button"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Show diff if it is not the first revision and not view only (rendered from the quarterly report page)"
"Not SATD","If we are showing the diff then we want to see archived records, otherwise filter out the archived quarterly reports"
"Not SATD","Sorting the quarterly report form changes by the reporting requirement index"
"Not SATD","Defines if all quarterly reports are pristine"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","Update the hasDiff state in the CollapsibleFormWidget to define if the form has diffs to show"
"Not SATD","setting this to true so that the text is ""Quarterly Reports not added"""
"Not SATD","Show this part if none of the quarterly reports' form properties have been updated"
"Not SATD","Show this part if the whole quarterly report has been removed"
"Not SATD","mutations"
"Not SATD","Show diff if it is not the first revision and the view only"
"Not SATD","Set custom rjsf fields to display diffs"
"Not SATD","Set the formSchema and formData based on showing the diff or not"
"Not SATD","todo: not displaying when reviewing changes"
"Not SATD","This file contains the common components used in the different form summary pages.* FormRemoved: is used to show a message when a form has been removed and it shows different styles depending on the page.* FormNotAddedOrUpdated: is used to show a message when a form has not been added or updated depending on wether it is the first revision or not."
"Not SATD","No need to show `removed` on Amendments/Revisions page"
"Not SATD","schema dependencies"
"Not SATD","Specific filter function for the milestone schema that*  - flattens the existing schema*  - removes the properties not in the form change data*  - returns the pruned, flat schema and only the form change data that changed since the previous version** @param formSchema* @param formChange* @returns {{formSchema: JSONSchema7, formData: any}}"
"Not SATD","the failing mutation will display an error message and send the error to sentry"
"Not SATD","These generic functions are for use in the ProjectMilestoneReportForm, ProjectQuarterlyReportForm and ProjectAnnualReportForm components.* The report forms all need to handle CRUD operations for reporting_requirement form_change records in an identical way.* Staging the forms before submit and sorting the forms by index are also shared functionality of these components."
"Not SATD","Deprecated - When refactoring forms, we should use the * `stageMultipleReportingRequirementFormChange` function instead"
"Not SATD","The mutation used here is dependent on whether a reportType is passed in.If a reportType is passed, we use the default mutationFn parameter. If not, we use the optional parameter updateFormChangeMutationFnto handle staging. Doing this allows us to stage all dependent form_change records for a report together & definehow to update each those form_change records."
"Not SATD","@param formChangeEdges the edges, containing nodes of graphQL type FormChange* @param keepArchivedReports if set to true, archived reports won't be pruned (for summary displays)* @returns a tuple containing the reports sorted by reportingRequirementIndex, and the next index available"
"Not SATD","the failing mutation will display an error message and send the error to sentry"
"Not SATD","This is the redirect call passed from the NextJS form index page"
"Not SATD","We don't want a front end navigation here,to ensure that a back-end redirect is performed when clicking on the banner image"
"Not SATD","eslint-disable react/no-danger"
"Not SATD","eslint-enable react/no-danger"
"Not SATD","Current date without time information"
"Not SATD","This has to be true to start with, otherwise it will prevent the children from rendering"
"Not SATD","need the specificity to override the default"
"Not SATD","eslint-disable relay/must-colocate-fragment-spreads"
"Not SATD","controlling form data like this is necessary because of this bug: https://github.com/rjsf-team/react-jsonschema-form/issues/1023"
"Not SATD","Custom widget to update the revision status"
"Not SATD","helper function to compare the initial value to the current value"
"Not SATD","not using strict equality because the value can be a string or a number when getting the value from the UI and we need the type coercion"
"SATD","const { id } = formContext.projectRevision; //TODO: bring this back when we have the mutation"
"Not SATD","set the text next to the button based on whether the value has changed or not"
"SATD"," import { UseDebouncedMutationConfig } from ""mutations/useDebouncedMutation""; //TODO: bring this back when we have the mutation import { Disposable, MutationParameters } from ""relay-runtime""; //TODO: bring this back when we have the mutation"
"SATD"," mutationFnHook: () => [ (config: UseDebouncedMutationConfig<MutationParameters>) => Disposable, boolean ] //TODO: bring this back when we have the mutation fieldNameToUpdate: string, //TODO: bring this back when we have the mutation formDataTableName: string //TODO: bring this back when we have the mutation"
"SATD"," const [updateFn, isUpdating] = mutationFnHook(); //TODO: bring this back when we have the mutation TODO: remove this once we have the mutation"
"SATD"," to compare the initial value to the current value TODO: remove this once we have the mutation eslint-disable-next-line @typescript-eslint/no-unused-vars"
"SATD"," TODO: We might use something like this once we have the mutation const updatePatch = { [fieldNameToUpdate]: value, };"
"SATD"," TODO: We might use something like this once we have the mutation return new Promise((resolve, reject) => updateFn({ variables: { input: { id: id, projectRevisionPatch: updatePatch, }, }, optimisticResponse: { updateFn: { projectRevision: { id: id, }, }, }, onCompleted: () => { setUpdated(true); TODO: need to add this once we have the mutation setInitialValue(value); TODO: need to add this once we have the mutation setInformationalText(""Updated""); TODO: need to add this once we have the mutation }, onError: reject, debounceKey: id, }) );"
"Not SATD","A factory function that creates a Field/Widget/React component for a routinely updated field.** @param Widget The widget to wrap like a TextWidget, SelectWidget, etc.* @param mutationFnHook The hook that returns the mutation function and a boolean indicating whether the mutation is in progress* @param fieldNameToUpdate The name of the field to update (e.g. ""status"")* @param formDataTableName The name of the form data table to use for updating the field (e.g. ""project"")* @returns a React component that wraps the widget and adds the update button and functionality** How to use:* 1. Create a mutation function hook that returns the mutation function and a boolean indicating whether the mutation is in progress* 2. Create a field/widget component inside the form component using this factory function* 3. Add the field/widget component to the form widgets prop* 4. Replace the widget in the ui-widget of the UISchema with this newly created field/widget component* 5. Pass the `projectRevision` object to the form context"
"Not SATD","eslint-disable-next-line relay/graphql-syntax"
"Not SATD","A section has form configuration items that need to be rendered,* A section can also have its own form configuration to render"
"Not SATD","By default, start with the component open if the submittedDate is empty"
"Not SATD","Rendering hidden children is necessary in case they contain form elements with validation"
"Not SATD","The relay fragment"
"Not SATD","The title of the link to display in this component.* e.g. ""Quarterly Report"" to display ""Quarterly Report <reportIndex>"""
"Not SATD"," This effect only needs to be run once on mount, even if the relay environment changes eslint-disable-next-line react-hooks/exhaustive-deps"
"Not SATD","reset the local state when the prop changes"
"Not SATD"," using a state update with a callback ensures that we always have a reference to the latest searchFilters especially when this handler is fired multiple times in quick sucession, without the component updating which can happen when a single filter component handles multiple variables"
"Not SATD","copy the vars from the query string, so that the args coming from extraFilters are not overriden"
"Not SATD"," At this point the data for the query should be cached, so we can update the route and re-render without suspending"
"Not SATD"," fetchQuery will fetch the query and write the data to the Relay store. This will ensure that when we re-render, the data is already cached and we don't suspend See https://github.com/facebook/relay/blob/b8e78ca0fbbfe05f34b4854484df574d91ba2113/website/docs/guided-tour/refetching/refetching-queries-with-different-data.md#if-you-need-to-avoid-suspense"
"Not SATD"," if the query fails, we still want to update the route, which will retry the query and let a 500 page be rendered if it fails again"
"Not SATD","The top-level query used by the page rendenring the table.* If provided, when the table filters, ordering or pagination are updated,* the table will reload the query before updating the router,* preventing a render with the Suspense fallback while the new data is being fetched."
"Not SATD","class name is used to increase specificity of CSS selectors and override defaults"
"Not SATD","The total number of items in all of the pages"
"Not SATD","Defaults to DEFAULT_PAGE_SIZE."
"Not SATD","The number of items to skip to get to the current page. Defaults to 0"
"Not SATD","This can be used as a UI trick to save space for the search/reset buttons"
"Not SATD","A filter that converts the input to a numerical value when submitting it"
"Not SATD","The name of the relay argument that this filter manages."
"Not SATD","The prefix to use when generating the orderBy argument for this filter.* Defaults to an uppercase version of the argName.* e.g. ""projectName"" => ""PROJECT_NAME"""
"Not SATD","The array of all relay arguments managed by this filter.* Most filters will manage a single argument, but some may manage more,* e.g. to control both an ""isEqual"" and an ""isNull"" relay filter.* Used to know which arguments should be removed from the query when the filters are reset"
"Not SATD"," The JSON string is tripping up eslint eslint-disable-next-line relay/graphql-syntax"
"Not SATD"," We only want to run this effect on mount, so we use an empty array as a dependency. eslint-disable-next-line react-hooks/exhaustive-deps"
"Not SATD","A section has form configuration items that need to be rendered,* A section can also have its own form configuration to render"
"Not SATD","Tasklist section is expanded if:* - either the current step is one of its form items,* - or if any of its form items has the Attention Required status"
"Not SATD","Project Summary Section"
"Not SATD","Amendments & Other Revisions section"
"Not SATD","Attachments Section"
"Not SATD","Remove the default button styles"
"Not SATD","This padding is to make the button outline looks better on focus"
"Not SATD","Remove the default button styles"
"Not SATD","This padding is to make the button outline looks better on focus"
"Not SATD","a workaround for the styled-jsx <style jsx> boolean property issue (see:https://github.com/vercel/next.js/issues/3432)"
"Not SATD","Current date without time information"
"Not SATD","No status as there are no milestones"
"SATD"," TODO add tests for document upload/download once the storage service is round-tripping describe(""The attachments component"", () => { it(""uploads a file"", () => { cy.visit(""/upload""); cy.get('[data-cy=""file-input""]').attachFile(""cif-test-document.docx""); }); });"
"SATD","TODO: the entire body should be tested for accessibility"
"SATD","TODO: the entire body should be tested for accessibility"
"Not SATD","click twice for descending order"
"Not SATD","below code is not a duplicate, we need to click the field twice to get the DESC sort"
"Not SATD","just to wait for the page to load"
"Not SATD","just to wait for the page to load"
"Not SATD","checking the view page for a specific revision"
"SATD","TODO: the entire body should be tested for accessibility"
"Not SATD","click twice for descending order"
"Not SATD","months are zero-indexed"
"Not SATD","add new"
"Not SATD","add overview"
"Not SATD","add managers"
"Not SATD","add contacts"
"Not SATD","add budgets, expenses, and payments"
"Not SATD","checking default values"
"Not SATD","add milestone reports"
"Not SATD","add emissions intensity reports"
"Not SATD","Add Quarterly Reports"
"Not SATD","No annual reports"
"Not SATD","review and submit"
"Not SATD","project overview section"
"Not SATD","funding agreement section"
"Not SATD","additional funding sources section"
"Not SATD","project managers section"
"Not SATD","project contacts section"
"Not SATD","TEIMP section"
"Not SATD","this checks that the project view list shows the milestone report status vs. the other report statuses"
"Not SATD","this test only checks the mandatory and IA-specific forms. The other forms are already tested above in the EP project creation test"
"Not SATD","add new"
"Not SATD","add overview"
"Not SATD","add budgets, expenses, and payments"
"Not SATD","checking default values"
"Not SATD","project summary form"
"Not SATD","review and submit"
"Not SATD","project overview section"
"Not SATD","funding agreement section"
"Not SATD","additional funding sources section"
"Not SATD","project summary report section"
"Not SATD","add new"
"Not SATD","Checking multiple query parameters in the url"
"Not SATD","Add new contact"
"Not SATD","Back to project contact form"
"Not SATD","add new"
"Not SATD","add budgets, expenses, and payments"
"Not SATD","add teimp reports"
"Not SATD","generate quarterly reports"
"Not SATD","generate annual reports"
"Not SATD","add new project with EP funding stream"
"Not SATD","Discard this revision to test the other funding stream"
"Not SATD","change project funding stream to IA"
"Not SATD","edit overview -- change project name"
"Not SATD","edit managers -- delete a manager"
"Not SATD","edit contacts -- add a secondary contact"
"Not SATD","current flow for reaching to the project amendment/revision"
"Not SATD","checking the view page for a draft revision"
"Not SATD","just checking one of other forms are not checked"
"Not SATD"," Screenshot below is commented out because of flakiness. Documented in ticket #1194. cy.happoAndAxe(""Project Revision View"", ""Forms Updated"", ""main"", true);"
"Not SATD","months are zero-indexed"
"Not SATD","edit overview -- change project name"
"Not SATD","edit managers -- delete a manager"
"Not SATD","edit contacts -- add a secondary contact"
"Not SATD","edit budgets, expenses, and payments -- change funding agreement"
"Not SATD","edit additional funding source"
"Not SATD","edit milestone reports -- change date"
"Not SATD","edit quarterly reports -- delete a report"
"Not SATD","two below assertions are not necessary, but it's needed to slow down the test and run the accessibility checks correctly"
"Not SATD","edit teimp"
"Not SATD","edit annual reports -- change comments"
"Not SATD","check diffs"
"Not SATD","Verify that the revision can be accessed by other users"
"Not SATD","Navigate back to the Review and Submit information page"
"Not SATD","Allow the component to finish saving before taking screenshot"
"Not SATD","months are zero-indexed"
"Not SATD","NEW"
"Not SATD","OVERVIEW"
"Not SATD","PROJECT DETAILS"
"Not SATD","MANAGERS"
"Not SATD","CONTACTS"
"Not SATD","BUDGETS, EXPENSES AND PAYMENTS"
"Not SATD","checking default values"
"Not SATD","MILESTONE REPORTS"
"Not SATD","QUARTERLY REPORTS"
"Not SATD","Emissions Intensity Report"
"Not SATD","Annual reports"
"Not SATD","SUMMMARY"
"Not SATD","NEW"
"Not SATD","BUDGETS, EXPENSES AND PAYMENTS"
"Not SATD","PROJECT SUMMARY REPORT"
"Not SATD","SUMMMARY"
"Not SATD","budgets, expenses, and payments"
"Not SATD","additional funding sources"
"SATD","TODO: TEIMP Agreement, when fixture is added"
"Not SATD","filter by ""IA"""
"Not SATD","budgets, expenses, and payments"
"Not SATD","additional funding sources"
"Not SATD","project summary report"
"Not SATD","load more projects to trigger unique proposal reference error"
"Not SATD","NEW"
"Not SATD","OVERVIEW"
"Not SATD","Renders the default error message for a required field"
"Not SATD","BUDGETS, EXPENSES AND PAYMENTS"
"Not SATD","MILESTONE REPORTS"
"Not SATD","Emissions intensity report"
"Not SATD","QUARTERLY REPORTS"
"Not SATD","Annual reports"
"Not SATD","load more projects to trigger unique proposal reference error"
"Not SATD","NEW"
"Not SATD","BUDGETS, EXPENSES AND PAYMENTS"
"Not SATD"," Screenshot below is commented out because of flakiness. Documented in ticket #1194. cy.happoAndAxe(""IA Project budgets Form"", ""empty"", ""main""); checking default values"
"Not SATD"," temporarily removing this flaky screenshot until a permanent fix is in place cy.happoAndAxe( ""Emissions intensity report Form"", ""with errors"", "".error-detail"" );"
"Not SATD"," Screenshot below is commented out because of flakiness. Documented in ticket #1194. cy.happoAndAxe( ""IA Project funding agreement Form"", ""with errors"", "".error-detail"" );"
"Not SATD","undo managers"
"Not SATD","undo contacts"
"Not SATD","undo budgets, expenses and payments"
"Not SATD","undo additional funding source"
"Not SATD","undo TEIMP agreement"
"Not SATD","undo quarterly reports"
"Not SATD","undo annual reports"
"Not SATD","undo milestone reports"
"Not SATD","undo overview"
"Not SATD","undo managers"
"Not SATD","undo contacts"
"Not SATD","undo budgets, expenses and payments"
"Not SATD","undo additional funding source"
"Not SATD","undo milestone reports"
"Not SATD","undo quarterly reports"
"Not SATD","undo annual reports"
"SATD","eslint-disable-next-line @typescript-eslint/no-unused-vars"
"Not SATD","@type {Cypress.PluginConfig}"
"Not SATD","pluck specific keys to keep the table readable"
"Not SATD","Open the login page, fill in the form with username and password and submit."
"Not SATD","This should be more strict depending on your login page template."
"Not SATD","need to return a Cypress promise (could be any cy. command) to let Cypress know that it has to wait for this call"
"Not SATD","Extra assertion to wait for the new milestone report to be added"
"Not SATD","need to return a Cypress promise (could be any cy. command) to let Cypress know that it has to wait for this call"
"Not SATD","Extra assertion to wait for the new milestone report to be added"
"Not SATD","need to return a Cypress promise (could be any cy. command) to let Cypress know that it has to wait for this call"
"Not SATD","holdback percentage is for EP projects only"
"Not SATD","datepicker indexes months from 0, luxon indexes from 1"
"Not SATD"," There is a bug where if cypress starts changing another form on the page too quickly, the last change is discarded and rjsf throws an error."
"Not SATD","Utility to match GraphQL operation based on the operation name"
"Not SATD","Alias operation if operationName matches"
"Not SATD","Any custom formats defined here must also be defined in app/server/middleware/graphql/validateRecord.ts to make AJV aware of them.* Example: ajv.addFormat('<format_name>', <regex>);"
"Not SATD"," Disabling the rules of hooks below is okay, as long as they are not disabled in the component that uses this hook."
"Not SATD","Returns a function that can be used to discard a form change,* e.g. remove a project_contact or project_manager from a pending project_revision.* If the form change was created in the same project revision, i.e. if its operation is ""CREATE"", it will be deleted.* If the form change was created in a different project revision, i.e. if its operation is ""UPDATE"", its operation will be updated to ""ARCHIVE"".* @param connectionId an optional connection id to update when the form change is deleted* @returns"
"Not SATD","Hook to check if the given userGroups makes the user an admin* @returns {boolean} Memoized boolean value"
"Not SATD","Hook that returns true if the router will redirect, false otherwise.*  - Example usage:*    const isRedirecting = useRedirectTo404IfFalsy(object);*    if(isRedirecting) return null;"
"Not SATD","Hook that redirects to the contacts list page, if the contact being viewed is committed and the `preventRedirect` flag is false.*  If the redirect is happening, then the hook returns true, and false otherwise."
"Not SATD","Hook that returns true if the project revision being viewed is not the latest project revision,*  the latest project revision id is not null, and shouldRedirect is true.*  False otherwise."
"Not SATD","Hook that returns true if the formIndex is out of bounds of the formPages array,*  and redirects to the first page of the form.*  False otherwise."
"Not SATD"," Function takes a string as a parameter & returns a parsed JSON object if valid JSON, {} if not valid. Prevents app crash on invalid querystring."
"Not SATD","Find the highest priority group"
"Not SATD"," This is not an exhaustive list of options, more can be found: https://moment.github.io/luxon/#/math"
"Not SATD","@param timestampString The date we are adding the duration to, in timestamptz format (string).* @param toAdd The duration to be added to the date* @returns The resulting date in timestamptz format (string)."
"Not SATD","@param startDate The start date of the duration in timestamptz format (string).* @param endDate The end date of the duration in timestamptz format (string).* @returns a string containing the duration as number of months and days, e.g. ""13 months, 1 day""."
"Not SATD","remove the wrapping span NumberFormat uses by default."
"Not SATD","Current date without time information"
"Not SATD","Current date without time information"
"Not SATD","@param timestampString The date we are subtracting the duration from, in timestamptz format (string).* @param toSubtract The duration to be subtracted from the date* @returns The resulting date in timestamptz format (string)."
"Not SATD","Effectively validating the form a second time to retrieve the errors"
"Not SATD","We walk through the structure to number everything with section numbers and form indices"
"Not SATD"," Invalidate the entire store, to make sure that we don't display any stale data after redirecting to the next page. This could be optimized to only invalidate the affected records."
"Not SATD","A factory function that creates a page component for a form_change record.** It abstracts away the submit, discard and change behaviours from the* individual forms, as well as the relay form change query, session and layouts.** @param resourceTitle The title of the resource, for which the form is being created (e.g. ""Operator"")* @param onSubmitOrDiscardRoute The route to navigate to when the form is submitted or discarded* @param FormComponent The form component to render* @returns a tuple [FormPage, query] where FormPage is the page component to render, and query is the relay query.*          it is meant to be used in the withRelay HOC (e.g. withRelay(FormPage, query, withRelayOptions))."
"Not SATD","removed `getRelaySerializedState` in favor of new API: https://github.com/RevereCRE/relay-nextjs/releases/tag/v1.0.0"
"SATD"," Max 100 requests Number in milliseconds, how long records stay valid in cache (default: 900000, 15 minutes). TODO: is one minute enough? How long should records stay valid?"
"Not SATD","Unset debouncedMutation to ensure it does not get called again with the next network request"
"Not SATD","Server-side redirection of the user to their landing route, if they are logged in"
"Not SATD","defining the class names if we are showing a revision specific diff"
"Not SATD","Ignore oneOf errors https://github.com/rjsf-team/react-jsonschema-form/issues/1263"
"Not SATD","substring is necessary here as the properties include a ""."" prefix. eg. the property for the email field is "".email"""
"Not SATD","The ObjectFieldTemplate is used by RJSF to render the ""Object"" type in a schema.* For really small forms, it can be useful to override the default tempalte with* an empty template that has only renders the individual form fields."
"Not SATD","ArrayFieldTemplate: AnticipatedFundingPerFiscalYearArrayFieldTemplate,"
"Not SATD","teimpReporting"
"Not SATD","uponCompletion"
"Not SATD"," Filter out fields from the formSchema that have not changed from the previous revision so the summary ignores these fields This is mainly used when the form has multiple fields within it and we want to check each field data with the previous revision"
"Not SATD"," Filter out fields from the formSchema that have not changed from the previous revision so the summary ignores these fields This is mainly used when the form has multiple fields within it and we want to check each field data with the previous revision"
